cust_id,pred_prob
1,0.003
2,0.013
3,0.028
4,0.049
5,0.044
6,0.001
7,0.022
8,0.01
9,0.059
10,0.02
11,0.055
12,0.044
13,0.024
14,0.032
15,0.001
16,0.037
17,0.108
18,0.022
19,0.01
20,0.043
21,0.03
22,0.011
23,0.026
24,0.028
25,0.01
26,0.015
27,0.002
28,0.005
29,0.11
30,0.044
31,0.0
32,0.016
33,0.049
34,0.001
35,0.019
36,0.027
37,0.002
38,0.025
39,0.019
40,0.058
41,0.011
42,0.002
43,0.006
44,0.003
45,0.005
46,0.005
47,0.005
48,0.12
49,0.026
50,0.022
51,0.041
52,0.001
53,0.008
54,0.007
55,0.008
56,0.043
57,0.04
58,0.007
59,0.006
60,0.026
61,0.019
62,0.002
63,0.012
64,0.01
65,0.028
66,0.009
67,0.018
68,0.094
69,0.135
70,0.062
71,0.034
72,0.043
73,0.055
74,0.027
75,0.003
76,0.005
77,0.002
78,0.022
79,0.009
80,0.072
81,0.002
82,0.029
83,0.022
84,0.061
85,0.08
86,0.024
87,0.021
88,0.051
89,0.115
90,0.039
91,0.018
92,0.023
93,0.006
94,0.019
95,0.002
96,0.003
97,0.001
98,0.041
99,0.014
100,0.035
101,0.037
102,0.046
103,0.012
104,0.048
105,0.004
106,0.042
107,0.004
108,0.239
109,0.013
110,0.018
111,0.005
112,0.092
113,0.054
114,0.012
115,0.002
116,0.011
117,0.016
118,0.001
119,0.016
120,0.011
121,0.004
122,0.045
123,0.027
124,0.003
125,0.001
126,0.071
127,0.003
128,0.001
129,0.032
130,0.083
131,0.024
132,0.035
133,0.113
134,0.103
135,0.072
136,0.088
137,0.046
138,0.028
139,0.005
140,0.048
141,0.034
142,0.001
143,0.004
144,0.015
145,0.041
146,0.015
147,0.008
148,0.003
149,0.038
150,0.019
151,0.036
152,0.055
153,0.014
154,0.007
155,0.006
156,0.13
157,0.057
158,0.067
159,0.011
160,0.133
161,0.028
162,0.065
163,0.039
164,0.106
165,0.02
166,0.048
167,0.038
168,0.015
169,0.046
170,0.061
171,0.006
172,0.027
173,0.063
174,0.005
175,0.06
176,0.009
177,0.001
178,0.001
179,0.063
180,0.001
181,0.028
182,0.086
183,0.094
184,0.008
185,0.015
186,0.011
187,0.072
188,0.044
189,0.015
190,0.036
191,0.019
192,0.002
193,0.005
194,0.023
195,0.009
196,0.014
197,0.031
198,0.021
199,0.003
200,0.026
201,0.009
202,0.021
203,0.02
204,0.002
205,0.014
206,0.006
207,0.006
208,0.083
209,0.011
210,0.143
211,0.01
212,0.016
213,0.013
214,0.004
215,0.089
216,0.007
217,0.019
218,0.02
219,0.049
220,0.005
221,0.05
222,0.049
223,0.018
224,0.075
225,0.032
226,0.003
227,0.055
228,0.03
229,0.005
230,0.009
231,0.001
232,0.01
233,0.0
234,0.055
235,0.048
236,0.005
237,0.014
238,0.002
239,0.016
240,0.052
241,0.012
242,0.135
243,0.008
244,0.006
245,0.04
246,0.03
247,0.039
248,0.041
249,0.004
250,0.007
251,0.036
252,0.0
253,0.002
254,0.014
255,0.082
256,0.004
257,0.001
258,0.074
259,0.007
260,0.003
261,0.009
262,0.008
263,0.018
264,0.002
265,0.005
266,0.056
267,0.005
268,0.04
269,0.0
270,0.023
271,0.054
272,0.002
273,0.011
274,0.008
275,0.008
276,0.153
277,0.021
278,0.011
279,0.002
280,0.022
281,0.01
282,0.027
283,0.002
284,0.012
285,0.015
286,0.085
287,0.001
288,0.084
289,0.018
290,0.001
291,0.009
292,0.014
293,0.002
294,0.026
295,0.022
296,0.125
297,0.016
298,0.158
299,0.024
300,0.011
301,0.002
302,0.013
303,0.028
304,0.114
305,0.047
306,0.059
307,0.01
308,0.013
309,0.03
310,0.038
311,0.094
312,0.01
313,0.015
314,0.047
315,0.003
316,0.001
317,0.013
318,0.006
319,0.039
320,0.01
321,0.004
322,0.03
323,0.001
324,0.002
325,0.025
326,0.001
327,0.057
328,0.006
329,0.024
330,0.013
331,0.05
332,0.001
333,0.011
334,0.015
335,0.039
336,0.021
337,0.001
338,0.014
339,0.016
340,0.04
341,0.048
342,0.034
343,0.031
344,0.031
345,0.034
346,0.055
347,0.004
348,0.013
349,0.057
350,0.002
351,0.006
352,0.031
353,0.001
354,0.045
355,0.015
356,0.04
357,0.042
358,0.051
359,0.033
360,0.002
361,0.007
362,0.002
363,0.04
364,0.039
365,0.021
366,0.012
367,0.066
368,0.004
369,0.019
370,0.032
371,0.022
